                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7847,                 4.4457,                 4.2173,                0.00083,                0.23684,                0.00182,                0.00073,                 3.4624,                 5.1378,                 4.1523,                0.00044,                0.00044,                0.00044
                      2,                  3.428,                 4.0552,                 4.0611,                0.00093,                0.26316,                0.00096,                0.00046,                 3.4117,                 5.0156,                 4.1291,             0.00089109,             0.00089109,             0.00089109
                      3,                 3.1821,                 3.6719,                  3.761,                0.00074,                0.21053,                0.02767,                0.00352,                 3.3666,                 5.2072,                 4.1491,              0.0013331,              0.0013331,              0.0013331
                      4,                 2.9145,                 3.4443,                 3.4755,                0.00061,                0.13158,                0.00134,                0.00045,                 3.4836,                 4.8543,                 4.3326,              0.0017659,              0.0017659,              0.0017659
                      5,                 2.8393,                 3.2179,                  3.276,                0.00057,                0.15789,                0.03736,                 0.0092,                 3.5178,                 4.3076,                 4.1532,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.8487,                 3.0998,                 3.1863,                0.09846,                0.05263,                0.01276,                0.00377,                 3.2821,                 4.9468,                 3.6546,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.7966,                 2.9768,                 3.1121,                0.08544,                0.26316,                0.05421,                0.01675,                 2.8208,                 8.5433,                  3.307,               0.001901,               0.001901,               0.001901
                      8,                 2.7713,                 2.8559,                 3.0406,                 0.2769,                0.31579,                0.20521,                0.07266,                 2.5356,                 3.5947,                 2.9804,              0.0018812,              0.0018812,              0.0018812
                      9,                  2.697,                 2.6874,                 2.9487,                0.29357,                0.18421,                0.15882,                0.03059,                 3.0454,                  2.965,                 3.4406,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.6762,                 2.6625,                  2.914,                0.00356,                0.07895,                0.00597,                0.00272,                 2.6003,                 8.4981,                 2.9874,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.5344,                 2.5453,                 2.8188,                0.14729,                0.26316,                0.07996,                0.02916,                 2.1531,                 2.6229,                 2.5503,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.5224,                 2.3996,                 2.7881,                0.25342,                0.15789,                0.14667,                0.07086,                 2.3406,                 2.9105,                 2.6965,               0.001802,               0.001802,               0.001802
                     13,                 2.5338,                 2.4586,                 2.7804,                0.69139,                0.21053,                0.24911,                0.09278,                 2.4343,                 3.2508,                 2.7822,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.3657,                 2.2851,                 2.6838,                0.50336,                0.26316,                0.27391,                0.14751,                  2.488,                 2.3923,                 2.8253,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.3081,                 2.1789,                  2.677,                0.11116,                0.44737,                0.09179,                 0.0385,                 2.3092,                 2.4796,                 2.7173,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.2494,                 2.1731,                 2.6472,                0.52027,                0.18421,                0.21228,                0.06169,                 2.1754,                 5.0687,                  2.594,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.2827,                 2.1423,                 2.6128,                 0.6651,                0.26143,                0.26318,                0.12715,                 2.4081,                  2.852,                  2.682,               0.001703,               0.001703,               0.001703
                     18,                 2.1759,                 2.1272,                 2.5589,                0.72093,                0.27234,                0.39172,                0.18951,                 2.3599,                 2.0354,                 2.5891,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.1325,                 2.1038,                 2.5454,                 0.7224,                0.31579,                0.39076,                0.17669,                 2.2665,                 2.0835,                 2.5417,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.1363,                 2.0107,                 2.4962,                0.61035,                0.28947,                0.34207,                0.16401,                 2.1375,                 2.6184,                 2.4171,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.1108,                 2.0202,                 2.4954,                0.36653,                0.34211,                0.39449,                0.17449,                 2.0849,                 2.0992,                 2.5135,              0.0016238,              0.0016238,              0.0016238
